time="2025-10-06 10:21:15" level=info msg="Starting server...\nURL: http://0.0.0.0:8081"
time="2025-10-06 10:22:51" level=info msg="Starting server...\nURL: http://0.0.0.0:8081"
time="2025-10-06 10:23:02" level=info msg="| 404 |            0s |       127.0.0.1 | GET | / |"
time="2025-10-06 10:30:24" level=info msg="| 200 |      3.2446ms |             ::1 | GET | /setting |"
time="2025-10-06 10:30:24" level=info msg="| 200 |   10.8246358s |             ::1 | GET | /ws_kefu?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjcmVhdGVfdGltZSI6MTc1OTcxNzc0MSwia2VmdV9pZCI6Miwia2VmdV9uYW1lIjoiYWRtaW4ifQ.eJR6W3zyokbm3F-5nPefj2cW2ugkR2wF0FO4I20vJNA |"
time="2025-10-06 10:30:24" level=info msg="| 200 |       522.2µs |             ::1 | GET | /configs |"
time="2025-10-06 10:30:24" level=info msg="| 200 |       522.2µs |             ::1 | GET | /kefuinfo |"
time="2025-10-06 10:30:25" level=info msg="| 200 |      5.2368ms |             ::1 | GET | /chat_main |"
time="2025-10-06 10:30:25" level=info msg="| 200 |            0s |             ::1 | GET | /visitors_kefu_online |"
time="2025-10-06 10:30:25" level=info msg="| 200 |      3.3848ms |             ::1 | GET | /ipblacks |"
time="2025-10-06 10:30:25" level=info msg="| 200 |      4.3688ms |             ::1 | GET | /kefuinfo |"
time="2025-10-06 10:30:25" level=info msg="| 200 |      4.7664ms |             ::1 | GET | /replys |"
time="2025-10-06 10:30:25" level=info msg="| 200 |      2.0617ms |             ::1 | GET | /pannel |"
time="2025-10-06 10:30:25" level=info msg="| 200 |    526.6043ms |             ::1 | GET | /ws_kefu?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjcmVhdGVfdGltZSI6MTc1OTcxNzc0MSwia2VmdV9pZCI6Miwia2VmdV9uYW1lIjoiYWRtaW4ifQ.eJR6W3zyokbm3F-5nPefj2cW2ugkR2wF0FO4I20vJNA |"
time="2025-10-06 10:30:25" level=info msg="| 200 |      1.1284ms |             ::1 | GET | /kefuinfo |"
time="2025-10-06 10:30:25" level=info msg="| 200 |      1.1284ms |             ::1 | GET | /configs |"
time="2025-10-06 10:30:28" level=info msg="| 200 |      5.7437ms |             ::1 | GET | /chat_main |"
time="2025-10-06 10:30:28" level=info msg="| 200 |       471.8µs |             ::1 | GET | /visitors_kefu_online |"
time="2025-10-06 10:30:28" level=info msg="| 200 |      1.4361ms |             ::1 | GET | /kefuinfo |"
time="2025-10-06 10:30:28" level=info msg="| 200 |       813.6µs |             ::1 | GET | /ipblacks |"
time="2025-10-06 10:30:28" level=info msg="| 200 |      1.9506ms |             ::1 | GET | /replys |"
time="2025-10-06 10:30:28" level=info msg="| 200 |      2.6104ms |             ::1 | GET | /setting |"
time="2025-10-06 10:30:28" level=info msg="| 200 |    353.8757ms |             ::1 | GET | /ws_kefu?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjcmVhdGVfdGltZSI6MTc1OTcxNzc0MSwia2VmdV9pZCI6Miwia2VmdV9uYW1lIjoiYWRtaW4ifQ.eJR6W3zyokbm3F-5nPefj2cW2ugkR2wF0FO4I20vJNA |"
time="2025-10-06 10:30:28" level=info msg="| 200 |       648.4µs |             ::1 | GET | /configs |"
time="2025-10-06 10:30:28" level=info msg="| 200 |       648.4µs |             ::1 | GET | /kefuinfo |"
time="2025-10-06 10:30:29" level=info msg="| 200 |      2.9071ms |             ::1 | GET | /pannel |"
time="2025-10-06 10:30:29" level=info msg="| 200 |       724.5µs |             ::1 | GET | /kefuinfo |"
time="2025-10-06 10:30:29" level=info msg="| 200 |      1.3126ms |             ::1 | GET | /configs |"
time="2025-10-06 10:30:52" level=info msg="| 404 |            0s |             ::1 | GET | /?ide_webview_request_time=1759717609685 |"
time="2025-10-06 10:30:52" level=info msg="| 404 |            0s |             ::1 | GET | /?ide_webview_request_time=1759717609685 |"
time="2025-10-06 10:30:52" level=info msg="| 404 |            0s |             ::1 | GET | /@vite/client |"
time="2025-10-06 10:30:52" level=info msg="| 200 |      2.6641ms |             ::1 | GET | /livechat?user_id=admin |"
time="2025-10-06 10:30:52" level=info msg="| 200 |      5.6917ms |             ::1 | POST | /visitor_login |"
time="2025-10-06 10:30:52" level=info msg="send_kefu_message websocket: close sent {\"type\":\"notice\",\"data\":{\"avator\":\"/static/images/2.png\",\"content\":\"Guest incoming!\",\"username\":\"Guest\"}}"
time="2025-10-06 10:30:52" level=info msg="send_kefu_message websocket: close sent {\"type\":\"userOnline\",\"data\":{\"avator\":\"/static/images/2.png\",\"last_message\":\"new visitor\",\"uid\":\"70d77c86-939f-4314-9829-72306a4ef9f3\",\"username\":\"Guest\"}}"
time="2025-10-06 10:30:52" level=info msg="send_kefu_message websocket: close sent {\"type\":\"userOnline\",\"data\":{\"avator\":\"/static/images/2.png\",\"last_message\":\"new visitor\",\"uid\":\"70d77c86-939f-4314-9829-72306a4ef9f3\",\"username\":\"Guest\"}}"
time="2025-10-06 10:30:52" level=info msg="| 200 |      2.8917ms |             ::1 | GET | /2/messagesPages?page=1&pagesize=5&visitor_id=70d77c86-939f-4314-9829-72306a4ef9f3 |"
time="2025-10-06 10:30:52" level=info msg="| 200 |     13.9806ms |             ::1 | GET | /notice?kefu_id=admin |"
time="2025-10-06 10:30:56" level=info msg="send_kefu_message websocket: close sent {\"type\":\"message\",\"data\":{\"name\":\"Guest\",\"avator\":\"/static/images/2.png\",\"id\":\"70d77c86-939f-4314-9829-72306a4ef9f3\",\"visitor_id\":\"\",\"group\":\"\",\"time\":\"2025-10-06 10:30:56\",\"to_id\":\"admin\",\"content\":\"111\",\"city\":\"\",\"client_ip\":\"\",\"refer\":\"\",\"is_kefu\":\"no\"}}"
time="2025-10-06 10:30:56" level=info msg="| 200 |      5.4226ms |             ::1 | POST | /2/message |"
time="2025-10-06 10:31:00" level=info msg="| 200 |      5.6534ms |             ::1 | GET | /chat_main |"
time="2025-10-06 10:31:01" level=info msg="| 200 |      1.0247ms |             ::1 | GET | /kefuinfo |"
time="2025-10-06 10:31:01" level=info msg="| 200 |      2.0825ms |             ::1 | GET | /visitors_kefu_online |"
time="2025-10-06 10:31:01" level=info msg="| 200 |      2.6065ms |             ::1 | GET | /replys |"
time="2025-10-06 10:31:01" level=info msg="| 200 |      4.8028ms |             ::1 | GET | /ipblacks |"
time="2025-10-06 10:31:01" level=info msg="| 200 |      1.0396ms |             ::1 | GET | /visitor?visitorId=70d77c86-939f-4314-9829-72306a4ef9f3 |"
time="2025-10-06 10:31:01" level=info msg="| 200 |      2.0622ms |             ::1 | GET | /2/messagesPages?page=1&pagesize=15&visitor_id=70d77c86-939f-4314-9829-72306a4ef9f3 |"
time="2025-10-06 10:31:05" level=info msg="send_kefu_message <nil> {\"type\":\"message\",\"data\":{\"name\":\"管理员\",\"avator\":\"/static/images/4.jpg\",\"id\":\"70d77c86-939f-4314-9829-72306a4ef9f3\",\"visitor_id\":\"\",\"group\":\"\",\"time\":\"2025-10-06 10:31:05\",\"to_id\":\"70d77c86-939f-4314-9829-72306a4ef9f3\",\"content\":\"你好啊\",\"city\":\"\",\"client_ip\":\"\",\"refer\":\"\",\"is_kefu\":\"yes\"}}"
time="2025-10-06 10:31:05" level=info msg="| 200 |     13.4912ms |             ::1 | POST | /kefu/message |"
time="2025-10-06 10:31:05" level=info msg="| 404 |            0s |             ::1 | GET | /favicon.ico |"
time="2025-10-06 10:31:12" level=info msg="| 200 |      2.6051ms |             ::1 | GET | /livechat?user_id=admin |"
time="2025-10-06 10:31:12" level=info msg="| 200 |      5.0161ms |             ::1 | POST | /visitor_login |"
time="2025-10-06 10:31:12" level=info msg="send_kefu_message <nil> {\"type\":\"notice\",\"data\":{\"avator\":\"/static/images/2.png\",\"content\":\"Guest incoming!\",\"username\":\"Guest\"}}"
time="2025-10-06 10:31:12" level=info msg="send_kefu_message <nil> {\"type\":\"userOnline\",\"data\":{\"avator\":\"/static/images/2.png\",\"last_message\":\"你好啊\",\"uid\":\"70d77c86-939f-4314-9829-72306a4ef9f3\",\"username\":\"Guest\"}}"
time="2025-10-06 10:31:12" level=info msg="| 200 |      1.3591ms |             ::1 | GET | /visitor?visitorId=70d77c86-939f-4314-9829-72306a4ef9f3 |"
time="2025-10-06 10:31:12" level=info msg="| 200 |      3.0854ms |             ::1 | GET | /2/messagesPages?page=1&pagesize=5&visitor_id=70d77c86-939f-4314-9829-72306a4ef9f3 |"
time="2025-10-06 10:31:12" level=info msg="send_kefu_message <nil> {\"type\":\"userOnline\",\"data\":{\"avator\":\"/static/images/2.png\",\"last_message\":\"你好啊\",\"uid\":\"70d77c86-939f-4314-9829-72306a4ef9f3\",\"username\":\"Guest\"}}"
time="2025-10-06 10:31:12" level=info msg="| 200 |   19.7536474s |             ::1 | GET | /ws_visitor?visitor_id=70d77c86-939f-4314-9829-72306a4ef9f3 |"
time="2025-10-06 10:31:12" level=info msg="| 200 |      1.0442ms |             ::1 | GET | /visitor?visitorId=70d77c86-939f-4314-9829-72306a4ef9f3 |"
time="2025-10-06 10:31:12" level=info msg="| 200 |      2.2922ms |             ::1 | GET | /notice?kefu_id=admin |"
time="2025-10-06 10:32:46" level=info msg="send_kefu_message <nil> {\"type\":\"message\",\"data\":{\"name\":\"Guest\",\"avator\":\"/static/images/2.png\",\"id\":\"70d77c86-939f-4314-9829-72306a4ef9f3\",\"visitor_id\":\"\",\"group\":\"\",\"time\":\"2025-10-06 10:32:46\",\"to_id\":\"admin\",\"content\":\"啊啊啊\",\"city\":\"\",\"client_ip\":\"\",\"refer\":\"\",\"is_kefu\":\"no\"}}"
time="2025-10-06 10:32:46" level=info msg="| 200 |      4.9591ms |             ::1 | POST | /2/message |"
time="2025-10-06 10:33:01" level=info msg="| 200 |      1.1088ms |             ::1 | GET | /visitors_kefu_online |"
